"Date","B&G Foods Capital Expenditures"
2015-01-01,1852852001.58756
2015-02-01,1738213000.39689
2015-03-01,1508934998.01555
2015-04-01,1165017994.44355
2015-05-01,1005275247.71789
2015-06-01,1029706757.83856
2015-07-01,1238312524.80557
2015-08-01,1411729572.94315
2015-09-01,1549957902.25128
2015-10-01,1652997512.72997
2015-11-01,1764009280.80216
2015-12-01,1882993206.46787
2016-01-01,2009949289.72708
2016-02-01,2009226343.24657
2016-03-01,1880824367.02634
2016-04-01,1624743361.06638
2016-05-01,1617165588.77661
2016-06-01,1858091050.15701
2016-07-01,2347519745.2076
2016-08-01,2734237110.06455
2016-09-01,3018243144.72785
2016-10-01,3199537849.19752
2016-11-01,3745208138.4168
2016-12-01,4655254012.38568
2017-01-01,5929675471.10417
2017-02-01,6201024232.45567
2017-03-01,5469300296.44017
2017-04-01,3734503663.05767
2017-05-01,3074926757.41879
2017-06-01,3490569579.52354
2017-07-01,4981432129.3719
2017-08-01,5768073669.80507
2017-09-01,5850494200.82304
2017-10-01,5228693722.42582
2017-11-01,5101723311.00715
2017-12-01,5469582966.56703
2018-01-01,6332272689.10545
2018-02-01,6073740602.91097
2018-03-01,4693986707.98358
2018-04-01,2193011004.3233
2018-05-01,1173008825.16575
2018-06-01,1633980170.51095
2018-07-01,3575925040.35889
2018-08-01,4429467477.55171
2018-09-01,4194607482.08941
2018-10-01,2871345053.97199
2018-11-01,2562020656.46364
2018-12-01,3266634289.56436
2019-01-01,4985185953.27416
2019-02-01,5600934404.24599
2019-03-01,5113879642.47985
2019-04-01,3524021667.97575
2019-05-01,2633540923.36792
2019-06-01,2442437408.65633
2019-07-01,2950711123.841
2019-08-01,3239746209.75642
2019-09-01,3309542666.40258
2019-10-01,3160100493.7795
2019-11-01,3352664580.2891
2019-12-01,3887234925.9314
2020-01-01,4763811530.70639
2020-02-01,4885097033.87035
2020-03-01,4251091435.42326
2020-04-01,2861794735.36514
2020-05-01,1893124508.82675
2020-06-01,1345080755.80811
2020-07-01,1217663476.3092
2020-08-01,1247561549.20258
2020-09-01,1434774974.48822
2020-10-01,1779303752.16614
2020-11-01,2155958132.46102
2020-12-01,2564738115.37284
2021-01-01,3005643700.90162
2021-02-01,3411637321.6076
2021-03-01,3782718977.49079
2021-04-01,4118888668.55118
2021-05-01,4063764589.9029
2021-06-01,3617346741.54592
2021-07-01,2779635123.48027
2021-08-01,2485480876.35365
2021-09-01,2734884000.16608
2021-10-01,3527844494.91755
2021-11-01,4055201247.41726
2021-12-01,4316954257.66519
2022-01-01,4313103525.66136
2022-02-01,4052313198.41439
2022-03-01,3534583275.92425
2022-04-01,2759913758.19097
2022-05-01,2271311060.11442
2022-06-01,2068775181.69461
2022-07-01,2152306122.93154
2022-08-01,2083959266.04212
2022-09-01,1863734611.02634
2022-10-01,1491632157.88422
2022-11-01,1329882426.18553
2022-12-01,1378485415.93025
2023-01-01,1637441127.11841
2023-02-01,1699099209.57664
2023-03-01,1563459663.30495
2023-04-01,1230522488.30335
2023-05-01,1199396328.32543
2023-06-01,1470081183.37122
2023-07-01,2042577053.4407
2023-08-01,2328768230.87755
2023-09-01,2328654715.68175
2023-10-01,2042236507.85332
2023-11-01,2013954575.00622
2023-12-01,2243808917.14046
2024-01-01,2731799534.25604
2024-02-01,3002197537.8429
2024-03-01,3055002927.90106
2024-04-01,2890215704.43052
2024-05-01,2696357120.23999
2024-06-01,2473427175.32949
2024-07-01,2221425869.69902
2024-08-01,1977356141.01714
2024-09-01,1741217989.28385
2024-10-01,1513011414.49915
2024-11-01,1571201209.92861
2024-12-01,1915787375.57223
2025-01-01,2546769911.43001
2025-02-01,3044438111.82195
2025-03-01,3408791976.74805
2025-04-01,3639831506.20832
2025-05-01,3564467758.91715
2025-06-01,3182700734.87454
2025-07-01,2494530434.0805
2025-08-01,2043840033.32161
2025-09-01,1830629532.59789
2025-10-01,1854898931.90932
2025-11-01,1995792082.80519
2025-12-01,2253308985.28549
2026-01-01,2627449639.35021
2026-02-01,2697147573.35373
2026-03-01,2462402787.29605
2026-04-01,1923215281.17716
2026-05-01,1563756943.76457
2026-06-01,1384027775.05827
