"Date","Kraft Heinz  Revenue"
2016-01-01,2421345905.2034
2016-02-01,2386336476.30085
2016-03-01,2316317618.49575
2016-04-01,2211289331.7881
2016-05-01,2169065261.27011
2016-06-01,2189645406.94178
2016-07-01,2273029768.80311
2016-08-01,2287353532.66611
2016-09-01,2232616698.53079
2016-10-01,2108819266.39714
2016-11-01,2063005458.56587
2016-12-01,2095175275.03698
2017-01-01,2205328715.81046
2017-02-01,2246370539.14598
2017-03-01,2218300745.04355
2017-04-01,2121119333.50316
2017-05-01,2086984480.49069
2017-06-01,2115896186.00614
2017-07-01,2207854450.04951
2017-08-01,2234203178.52322
2017-09-01,2194942371.42727
2017-10-01,2090072028.76165
2017-11-01,2066300421.52401
2017-12-01,2123627549.71434
2018-01-01,2262053413.33266
2018-02-01,2308869819.23774
2018-03-01,2264076767.4296
2018-04-01,2127674257.90823
2018-05-01,2073817937.09671
2018-06-01,2102507804.99506
2018-07-01,2213743861.60327
2018-08-01,2253744979.55287
2018-09-01,2222511158.84387
2018-10-01,2120042399.47627
2018-11-01,2100143410.02717
2018-12-01,2162814190.49657
2019-01-01,2308054740.88447
2019-02-01,2336073822.81809
2019-03-01,2246871436.29744
2019-04-01,2040447581.3225
2019-05-01,1948255931.58689
2019-06-01,1970296487.09061
2019-07-01,2106569247.83365
2019-08-01,2162210502.14417
2019-09-01,2137220250.02218
2019-10-01,2031598491.46768
2019-11-01,2000494183.2283
2019-12-01,2043907325.30402
2020-01-01,2161837917.69486
2020-02-01,2203942127.52142
2020-03-01,2170219954.78372
2020-04-01,2060671399.48174
2020-05-01,2027030711.04494
2020-06-01,2069297889.47332
2020-07-01,2187472934.76688
2020-08-01,2238411995.01511
2020-09-01,2222115070.21801
2020-10-01,2138582160.37559
2020-11-01,2124012312.63329
2020-12-01,2178405526.99112
2021-01-01,2301761803.44906
2021-02-01,2341029519.97675
2021-03-01,2296208676.57418
2021-04-01,2167299273.24136
2021-05-01,2108097467.47713
2021-06-01,2118603259.28151
2021-07-01,2198816648.65447
2021-08-01,2223507509.50686
2021-09-01,2192675841.83867
2021-10-01,2106321645.64989
2021-11-01,2085991862.36528
2021-12-01,2131686491.98483
2022-01-01,2243405534.50856
2022-02-01,2266031144.25807
2022-03-01,2199563321.23337
2022-04-01,2044002065.43446
2022-05-01,1983360202.40889
2022-06-01,2017637732.15666
2022-07-01,2146834654.67777
2022-08-01,2207507894.29972
2022-09-01,2199657451.0225
2022-10-01,2123283324.84613
2022-11-01,2137977299.66744
2022-12-01,2243739375.48644
2023-01-01,2440569552.30313
2023-02-01,2504599932.27996
2023-03-01,2435830515.41691
2023-04-01,2234261301.714
2023-05-01,2130423022.00277
2023-06-01,2124315676.28323
2023-07-01,2215939264.55537
2023-08-01,2257140713.20688
2023-09-01,2247920022.23775
2023-10-01,2188277191.64799
2023-11-01,2174658590.26456
2023-12-01,2207064218.08745
2024-01-01,2285494075.11666
2024-02-01,2305980983.03647
2024-03-01,2268524941.84687
2024-04-01,2173125951.54787
2024-05-01,2122181740.31222
2024-06-01,2115692308.13991
2024-07-01,2153657655.03094
2024-08-01,2166905750.48049
2024-09-01,2155436594.48856
2024-10-01,2119250187.05514
2024-11-01,2116515944.90543
2024-12-01,2147233868.03942
2025-01-01,2211403956.45712
2025-02-01,2212893511.21871
2025-03-01,2151702532.32417
2025-04-01,2027831019.77352
2025-05-01,1975739876.80572
2025-06-01,1995429103.42077
2025-07-01,2086898699.61867
2025-08-01,2132592073.95414
2025-09-01,2132509226.42718
2025-10-01,2086650157.03779
2025-11-01,2069447771.9121
2025-12-01,2080902071.05011
2026-01-01,2121013054.45184
2026-02-01,2128781009.46339
2026-03-01,2104205936.08477
2026-04-01,2047287834.31599
2026-05-01,2009342433.1368
2026-06-01,1990369732.54721
